image_id,x_1,y_1,width,height
000001.jpg,95,71,226,313
000002.jpg,72,94,221,306
000003.jpg,216,59,91,126
000004.jpg,622,257,564,781
000005.jpg,236,109,120,166
000006.jpg,146,67,182,252
000007.jpg,64,93,211,292
000008.jpg,212,89,218,302
000009.jpg,600,274,343,475
000010.jpg,113,110,211,292
000011.jpg,166,68,125,173
000012.jpg,102,31,104,144
000013.jpg,89,132,247,342
000014.jpg,110,122,234,324
000015.jpg,93,86,190,263
000016.jpg,39,89,283,392
000017.jpg,40,64,62,86
000018.jpg,140,84,195,270
000019.jpg,226,87,138,191
000020.jpg,85,38,221,306
000021.jpg,128,27,135,187
000022.jpg,130,33,114,158
000023.jpg,159,94,231,320
000024.jpg,753,127,114,158
000025.jpg,239,85,200,277
000026.jpg,59,45,107,148
000027.jpg,90,47,104,144
000028.jpg,118,32,174,241
000029.jpg,93,71,153,212
000030.jpg,165,181,372,515
000031.jpg,70,94,283,392
000032.jpg,143,50,211,292
000033.jpg,82,37,114,158
000034.jpg,181,41,101,140
000035.jpg,322,138,146,202
000036.jpg,102,56,125,173
000037.jpg,96,74,174,241
000038.jpg,128,99,242,335
000039.jpg,167,207,96,133
000040.jpg,91,87,166,230
000041.jpg,127,91,172,238
000042.jpg,84,102,174,241
000043.jpg,133,62,133,184
000044.jpg,743,626,998,1382
000045.jpg,220,26,138,191
000046.jpg,134,65,99,137
000047.jpg,142,89,203,281
000048.jpg,264,58,140,194
000049.jpg,47,45,60,83
000050.jpg,110,30,133,184
000051.jpg,61,98,255,353
000052.jpg,135,159,333,461
000053.jpg,35,64,91,126
000054.jpg,876,228,224,310
000055.jpg,30,62,268,371
000056.jpg,188,91,281,389
000057.jpg,220,25,114,158
000058.jpg,167,64,140,194
000059.jpg,125,169,263,364
000060.jpg,17,84,174,241
000061.jpg,171,50,239,331
000062.jpg,263,68,94,130
000063.jpg,1,58,91,126
202569.jpg,138,39,135,187
202570.jpg,52,14,239,331
202571.jpg,80,49,187,259
202572.jpg,165,174,582,806
202573.jpg,45,54,70,97
202574.jpg,217,74,218,302
202575.jpg,21,30,86,119
202576.jpg,47,138,283,392
202577.jpg,112,102,187,259
202578.jpg,116,86,224,310
202579.jpg,139,95,161,223
202580.jpg,265,107,325,450
202581.jpg,85,88,195,270
202582.jpg,295,482,627,868
202583.jpg,59,35,86,119
202584.jpg,38,30,60,83
202585.jpg,109,46,148,205
202586.jpg,103,67,140,194
202587.jpg,88,87,169,234
202588.jpg,74,85,250,346
202589.jpg,28,37,133,184
202590.jpg,35,93,237,328
202591.jpg,700,452,1045,1447
202592.jpg,409,108,107,148
202593.jpg,92,103,190,263
202594.jpg,108,127,244,338
202595.jpg,1381,91,221,306
202596.jpg,137,129,114,158
202597.jpg,53,76,91,126
202598.jpg,195,28,91,126
202599.jpg,101,101,179,248
162769.jpg,30,59,216,280
162770.jpg,376,4,372,515
162771.jpg,64,64,159,220
162772.jpg,65,50,177,245
162773.jpg,144,32,83,115
162774.jpg,40,84,218,302
162775.jpg,472,266,452,499
162776.jpg,115,101,192,266
162777.jpg,128,107,179,248
162778.jpg,63,96,255,303
162779.jpg,54,78,177,245
162780.jpg,89,46,164,227
162781.jpg,808,110,343,475
162782.jpg,65,21,294,407
162783.jpg,66,81,198,274
162784.jpg,173,53,122,169
162784.jpg,173,53,122,169
