image_id,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000001.jpg,69,109,106,113,77,142,73,152,108,154
000002.jpg,69,110,107,112,81,135,70,151,108,153
000003.jpg,76,112,104,106,108,128,74,156,98,158
000004.jpg,72,113,108,108,101,138,71,155,101,151
000005.jpg,66,114,112,112,86,119,71,147,104,150
000006.jpg,71,111,106,110,94,131,74,154,102,153
000007.jpg,70,112,108,111,85,135,72,152,104,152
000008.jpg,71,110,106,111,84,137,73,155,104,153
000009.jpg,68,113,110,111,97,139,66,152,109,150
000010.jpg,68,111,108,112,89,136,70,151,107,151
000011.jpg,69,112,108,111,89,139,72,152,104,151
000012.jpg,69,112,108,112,89,136,68,150,109,152
000013.jpg,68,112,109,111,90,138,67,151,109,150
000014.jpg,68,112,109,111,92,141,72,150,104,152
000015.jpg,69,110,107,112,90,133,74,152,105,153
000016.jpg,69,112,108,111,85,138,70,152,105,152
000017.jpg,67,112,109,113,86,138,67,150,111,151
000018.jpg,67,112,110,112,88,135,68,150,109,150
000019.jpg,68,111,108,112,88,134,73,152,104,151
000020.jpg,69,112,109,110,86,125,72,152,103,151
000021.jpg,70,111,107,111,87,138,73,151,104,154
000022.jpg,70,111,107,111,85,132,74,153,103,153
000023.jpg,70,112,108,111,88,140,71,153,105,151
000024.jpg,67,111,109,113,84,123,72,149,106,152
000025.jpg,70,111,108,111,83,130,72,153,104,152
000026.jpg,69,111,108,111,85,135,73,152,103,152
000027.jpg,70,112,107,110,101,138,70,155,105,151
000028.jpg,68,112,110,112,89,145,67,150,109,151
000029.jpg,69,111,108,111,91,129,70,151,107,152
000030.jpg,70,110,106,111,95,135,75,153,103,153
000031.jpg,68,113,109,111,88,137,65,151,111,151
000032.jpg,72,111,106,110,88,133,75,153,101,155
000033.jpg,69,111,108,111,88,136,72,152,105,152
000034.jpg,70,111,108,111,91,134,72,153,104,152
000035.jpg,69,111,108,111,88,135,73,152,104,152
000036.jpg,74,106,101,111,69,138,80,156,102,158
000037.jpg,72,110,105,110,94,132,76,155,101,155
000038.jpg,69,112,109,111,93,137,68,151,109,152
000039.jpg,69,111,108,111,100,131,68,151,108,152
000040.jpg,69,112,108,111,89,139,73,152,103,152
000041.jpg,70,105,102,114,65,144,73,151,112,159
000042.jpg,68,112,109,112,92,138,68,152,109,150
000043.jpg,68,111,109,112,90,136,67,150,110,151
000044.jpg,71,110,106,111,87,137,73,153,105,154
000045.jpg,69,112,108,111,86,140,68,151,108,152
000046.jpg,66,112,110,113,87,139,69,149,109,150
000047.jpg,68,112,109,112,88,135,72,151,105,152
000048.jpg,70,113,108,110,81,125,74,154,100,150
000049.jpg,73,107,102,111,76,139,78,157,102,156
000050.jpg,68,112,109,111,93,139,66,151,110,151
000051.jpg,67,113,110,112,83,140,69,148,107,152
000052.jpg,70,111,107,111,85,135,72,153,105,153
000053.jpg,70,112,108,111,91,137,72,153,103,152
000054.jpg,67,112,110,112,87,138,66,150,111,151
000055.jpg,69,111,108,111,86,133,73,151,104,153
000056.jpg,69,111,107,111,97,133,74,152,103,152
000057.jpg,71,111,106,110,95,134,73,154,103,154
000058.jpg,68,112,109,112,89,132,73,152,104,150
000059.jpg,72,110,105,110,75,132,75,153,101,156
000060.jpg,71,112,107,109,74,131,70,154,104,153
000061.jpg,74,110,104,108,97,130,78,158,97,154
000062.jpg,69,111,108,112,87,137,72,153,105,151
000063.jpg,68,111,108,113,82,142,66,150,112,152
202569.jpg,67,110,108,114,78,139,68,148,113,154
202570.jpg,70,111,107,111,89,129,73,153,104,152
202571.jpg,70,110,106,111,89,134,75,153,103,153
202572.jpg,71,112,107,109,77,135,72,154,103,153
202573.jpg,67,112,109,112,86,136,72,149,105,152
202574.jpg,68,111,108,112,92,129,74,151,104,151
202575.jpg,71,110,106,110,81,133,75,154,102,154
202576.jpg,68,111,109,112,87,132,72,152,105,151
202577.jpg,67,112,110,112,88,140,64,150,112,151
202578.jpg,69,112,108,111,93,138,75,152,102,151
202579.jpg,66,112,110,113,89,136,64,148,115,151
202580.jpg,70,110,107,111,90,134,74,152,104,153
202581.jpg,67,112,110,112,89,132,70,150,106,150
202582.jpg,66,112,110,113,88,143,67,149,111,150
202583.jpg,69,111,107,111,89,140,66,153,111,152
202584.jpg,69,115,111,109,89,138,65,151,107,149
202585.jpg,70,107,105,114,100,121,78,151,104,156
202586.jpg,70,111,107,111,97,139,72,155,104,151
202587.jpg,68,112,109,112,86,140,69,150,108,151
202588.jpg,69,112,109,111,86,131,71,151,105,151
202589.jpg,69,112,109,111,83,132,68,151,107,152
202590.jpg,69,111,108,112,89,134,73,152,104,152
202591.jpg,69,111,108,112,95,135,67,152,110,151
202592.jpg,67,111,110,113,85,134,67,149,112,151
202593.jpg,68,112,109,112,86,141,69,151,107,152
202594.jpg,69,111,108,111,91,139,74,153,103,151
202595.jpg,69,111,108,111,89,140,73,151,104,153
202596.jpg,67,112,110,112,85,141,66,150,110,150
202597.jpg,69,111,107,111,92,137,68,151,109,153
202598.jpg,69,111,108,111,90,137,71,153,106,151
202599.jpg,68,111,109,112,81,136,75,150,103,152
162269.jpg,69,112,108,111,91,134,73,152,103,153
162270.jpg,71,111,106,110,82,133,77,153,100,154
162271.jpg,72,112,107,108,82,129,72,154,101,153
162272.jpg,69,112,108,111,87,139,67,151,109,153
162273.jpg,71,112,107,110,99,138,70,154,105,153
162274.jpg,69,112,108,111,91,140,71,152,106,151
162275.jpg,71,110,106,111,97,132,75,154,102,153
162276.jpg,68,111,108,112,87,135,69,151,109,152
162277.jpg,70,111,107,111,88,133,75,153,101,153
162278.jpg,69,111,108,112,92,133,71,151,106,153
162279.jpg,70,113,109,110,100,137,63,154,110,149
162280.jpg,71,113,108,109,104,128,70,156,103,150
162281.jpg,71,111,107,110,90,139,72,152,104,155
162282.jpg,72,111,106,110,82,134,73,154,102,154
162283.jpg,70,111,107,111,88,141,75,152,102,153
162284.jpg,69,111,108,111,82,135,68,152,109,152
